TEST,ANSWER,TIME
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\183.txt,1,0.11326742172241211
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\184.txt,-1,0.3115687370300293
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\185.txt,4,0.229966402053833
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\186.txt,15,0.18944478034973145
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\187.txt,15,0.37734127044677734
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\188.txt,7,0.2473771572113037
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\189.txt,15,0.46003055572509766
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\190.txt,8,0.544419527053833
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\191.txt,6,0.19313526153564453
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\192.txt,5,0.1371598243713379
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\193.txt,4,0.1342754364013672
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\194.txt,5,0.12324047088623047
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\195.txt,12,0.25087881088256836
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\196.txt,-1,0.15108323097229004
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\197.txt,9,0.23956012725830078
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\198.txt,9,0.2681612968444824
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\199.txt,11,0.24330615997314453
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\200.txt,5,0.11837410926818848
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\201.txt,10,0.20078682899475098
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\202.txt,13,0.18148326873779297
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\203.txt,9,0.22104597091674805
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\204.txt,3,0.11818313598632812
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\205.txt,11,0.2773134708404541
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\206.txt,2,0.12760543823242188
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\207.txt,1,0.1387648582458496
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\208.txt,8,0.1650702953338623
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\209.txt,12,0.21593761444091797
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\210.txt,4,0.12066841125488281
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\211.txt,8,0.24921607971191406
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\212.txt,6,0.1361088752746582
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\213.txt,17,0.2857503890991211
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\214.txt,5,0.17974257469177246
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\215.txt,7,0.19172024726867676
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\216.txt,14,0.3834221363067627
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\217.txt,6,0.17215871810913086
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\218.txt,4,0.183976411819458
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\219.txt,8,0.2893075942993164
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\220.txt,4,0.13848423957824707
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\221.txt,8,0.14033150672912598
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\222.txt,-1,0.1274876594543457
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\223.txt,10,0.15384626388549805
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\224.txt,16,0.42413759231567383
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\225.txt,6,0.13553977012634277
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\226.txt,12,0.20169878005981445
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\227.txt,6,0.2491285800933838
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\228.txt,6,0.11778712272644043
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\229.txt,11,0.31225013732910156
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\230.txt,12,0.3443453311920166
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\231.txt,12,0.27074384689331055
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\232.txt,-1,0.12181210517883301
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\233.txt,8,0.36550116539001465
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\234.txt,8,0.18235540390014648
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\235.txt,13,0.34233641624450684
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\236.txt,4,0.1679549217224121
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\237.txt,6,0.13100671768188477
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\238.txt,8,0.1740865707397461
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\239.txt,10,0.16418910026550293
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\240.txt,-1,0.1315920352935791
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\241.txt,10,0.3078043460845947
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\242.txt,9,0.30934906005859375
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\243.txt,11,0.36618900299072266
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\244.txt,11,0.1625347137451172
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\245.txt,10,0.2017984390258789
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\246.txt,15,0.5809996128082275
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\247.txt,-1,0.20960569381713867
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\248.txt,4,0.14804792404174805
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\249.txt,12,0.34089112281799316
C:\Projects\IU\Philosophy\Assignment1-AStar\tests\250.txt,14,0.24717974662780762
